SCRIP, LDCP, OPEN, HIGH, LOW, CURRENT, CHANGE, VOLUME, 
Bolan Casting Ltd. , 63.43, 67.40, 68.18, 64, 67,   3.57, 94 500, 
Crescent Steel & Allied Product. , 57.12, 57.00, 57.75, 53.8, 54.45,   -2.67, 203 000, 
Dadex Eternit Ltd. , 22.05, 22.25, 23.7, 22.25, 23.70,   1.65, 22 500, 
Dost Steels Ltd. [ DEFAULTER SEGMENT ], 3.60, 3.52, 3.64, 3.48, 3.50,   -.1, 1 163 500, 
Drekkar Kingsway Ltd. [ DEFAULTER SEGMENT ], 2.65, 2.50, 2.51, 2.5, 2.51,   -.14, 1 500, 
International Industries Ltd. , 107.14, 108.97, 109.78, 105.26, 108.20,   1.06, 2 757 500, 
International Steels Limited. , 59.24, 59.51, 60.2, 58, 58.93,   -.31, 3 624 500, 
Ittefaq Iron Industries Limited. , 8.07, 8.11, 8.17, 7.75, 7.81,   -.26, 730 500, 
KSB Pumps Co Ltd. , 159.52, 159.52, 159.52, 159.52, 159.52,   0, 100, 
Metropolitan Steel Corporation , 10.56, 11.54, 11.54, 10, 10.50,   -.06, 4 500, 
Mughal Iron & Steels Ind Ltd. , 51.31, 51.50, 51.95, 50.51, 51.18,   -.13, 627 000, 
Pakistan Engineering Co Ltd. [ DEFAULTER SEGMENT ], 168.18, 162.00, 168.18, 162, 168.18,   0, 100, 
Arif Habib Corporation Ltd. , 32.07, 32.15, 32.15, 32, 32,   -.07, 13 500, 
Engro Corporation Limited. , 301.92, 304.98, 306.74, 299.01, 300.73,   -1.19, 1 606 793, 
Engro Fertilizers Limited. , 63.71, 63.71, 64.5, 63, 63.35,   -.36, 949 727, 
Fatima Fertilizer Co Ltd.(XD) , 28.35, 28.50, 29.75, 28, 28.90,   .55, 2 037 500, 
Fauji Fertilizer Bin Qasim Ltd. , 18.47, 18.51, 18.74, 17.7, 17.84,   -.63, 2 652 500, 
Fauji Fertilizer Co. Ltd. , 111.77, 111.50, 111.75, 110.86, 111.14,   -.63, 776 586, 
Al-Shaheer Corporation. , 12.48, 12.51, 12.6, 12.15, 12.20,   -.28, 536 500, 
At-Tahur Ltd. , 18.46, 18.64, 18.81, 18.1, 18.14,   -.32, 153 000, 
Clover Pakistan Limited. , 95.87, 97.75, 98, 95.87, 96.28,   .41, 33 000, 
Fauji Foods Limited. , 10.64, 10.70, 10.85, 10.44, 10.49,   -.15, 2 755 000, 
Frieslandcampina Engro Pakistan Ltd. , 72.14, 72.10, 72.49, 70.7, 70.83,   -1.31, 143 000, 
Gillatte Pakistan Ltd. , 245.04, 250.00, 263.41, 250, 263.41,   18.37, 3 100, 
Matco Foods Limited. , 21.07, 21.49, 21.5, 20.65, 20.73,   -.34, 206 000, 
Mitchells Fruit Farms Ltd. , 215.31, 210.00, 222.5, 210, 211.50,   -3.81, 1 900, 
Murree Brewery Company Ltd. , 582.11, 580.00, 580, 580, 580,   -2.11, 200, 
National Foods Ltd. , 250.20, 246.00, 250, 246, 246.42,   -3.78, 4 100, 
Nestle Pakistan Ltd. , 6 800.00, 6800.00, 6800, 6750, 6800,   0, 80, 
Quice Food Industries Ltd. , 4.91, 4.98, 4.98, 4.75, 4.77,   -.14, 312 000, 
Rafhan Maize Products Ltd. , 7 490.00, 7500.00, 7500, 7500, 7500,   10, 80, 
Shezan International Ltd. , 219.00, 219.00, 220, 219, 219.01,   .01, 600, 
Shield Corporation Ltd. , 235.00, 222.01, 222.01, 222.01, 222.01,   -12.99, 200, 
Treet Corporation Ltd. , 21.04, 21.15, 21.34, 20.5, 20.60,   -.44, 1 113 500, 
Unilever Pakistan Foods Ltd. , 9 500.00, 9500.00, 9500, 9400, 9400,   -100, 40, 
ZIL Limited. , 124.97, 128.00, 128, 125, 125.05,   .08, 1 900, 
Baluchistan Glass Ltd. , 6.29, 6.31, 6.51, 6.23, 6.26,   -.03, 359 000, 
Frontier Ceramics Ltd. , 13.16, 13.15, 13.3, 12.95, 13.05,   -.11, 10 000, 
Ghani Glass Ltd. , 49.45, 51.25, 51.25, 48.52, 49.08,   -.37, 1 664 000, 
Ghani Global Glass Limited. , 13.28, 13.40, 13.5, 12.93, 13.02,   -.26, 960 500, 
Ghani Value Glass Limited. , 42.38, 43.00, 43, 41, 41.72,   -.66, 19 500, 
Shabbir Tiles and Ceramics Limited. , 9.17, 9.26, 9.84, 9, 9.40,   .23, 4 453 500, 
Tariq Glass. , 72.90, 73.50, 75.49, 73, 75.07,   2.17, 1 656 000, 
Adamjee Insurance Co. Ltd. , 35.08, 34.75, 35, 34.75, 34.99,   -.09, 86 000, 
Askari Gen Insurance Co. , 21.24, 21.44, 22.83, 20.15, 21.01,   -.23, 11 500, 
Askari Life Assurance Company Ltd. , 8.00, 7.81, 8.24, 7.8, 7.94,   -.06, 15 500, 
Atlas Insurance Limited. , 53.51, 53.00, 54, 53, 53.30,   -.21, 2 500, 
Cresent Star Insurance Ltd. , 2.08, 2.09, 2.09, 2.03, 2.06,   -.02, 96 000, 
E. F. U. Gen Insurance Ltd. , 113.00, 116.00, 116, 116, 116,   3, 1 200, 
IGI Holdings Limited. , 195.41, 194.25, 196, 193, 193.12,   -2.29, 52 700, 
IGI Life Insurance Ltd. , 30.00, 30.90, 30.9, 29.5, 29.50,   -.5, 5 000, 
Jubilee General Insurance Co.Ltd. , 41.00, 38.42, 41.24, 38.41, 41.24,   .24, 1 500, 
Jubliee Life Insurance Co Ltd. , 281.33, 287.99, 287.99, 285, 287.86,   6.53, 700, 
Pakistan General Insurance Co. [ DEFAULTER SEGMENT ], 2.01, 2.00, 2, 2, 2,   -.01, 500, 
Pakistan Reinsurance Comp. , 24.00, 24.00, 24, 23.99, 24,   0, 5 000, 
PICIC Insurance Ltd. [ DEFAULTER SEGMENT ], 0.81, 0.77, .79, .62, 0.79,   -.02, 26 000, 
Reliance Insurance. , 6.60, 6.61, 7, 6.6, 7,   .4, 26 500, 
Shaheen Insurance Co Ltd. , 3.40, 3.35, 3.49, 3.27, 3.27,   -.13, 3 000, 
TPL Insurance Ltd. , 26.38, 26.90, 26.9, 26.9, 26.90,   .52, 500, 
United Insurance Company. , 7.39, 7.43, 7.43, 7.2, 7.39,   0, 4 500, 
786 Investments Limited , 26.29, 26.80, 26.8, 26.1, 26.13,   -.16, 466 500, 
Arif Habib Limited. , 41.74, 44.87, 44.87, 43.3, 43.47,   1.73, 316 000, 
BIPL Securities Ltd. , 6.99, 6.98, 7, 6.98, 7,   .01, 2 500, 
Cyan Limited. , 25.99, 27.00, 27.93, 26.99, 27.93,   1.94, 67 000, 
Dawood Equities Ltd. , 4.90, 4.70, 4.7, 4.66, 4.67,   -.23, 7 500, 
Dawood Hercules Corporation Ltd. , 129.03, 127.51, 128.95, 125.5, 126.06,   -2.97, 174 900, 
EFG Hermes Pakistan Ltd. , 23.45, 23.00, 23, 21.71, 22,   -1.45, 26 500, 
Escorts Investment Bank Ltd. , 11.24, 11.01, 11.02, 10.24, 10.28,   -.96, 224 500, 
First Capital Sec.Corp. Ltd. , 1.05, 1.05, 1.1, 1.01, 1.04,   -.01, 378 000, 
First Credit & Investment Bank Ltd. , 5.50, 6.20, 6.5, 6, 6.50,   1, 71 000, 
First Dawood Investment Bank Ltd. , 1.57, 1.66, 1.7, 1.56, 1.56,   -.01, 76 500, 
First National Equities Limited. , 14.92, 15.00, 15.2, 14.3, 14.46,   -.46, 322 000, 
Invest Capital Investment Bank Ltd. , 0.77, 0.81, .82, .77, 0.77,   0, 67 000, 
Jahangir Siddiqui & Company Ltd. , 15.47, 15.59, 15.6, 15, 15.08,   -.39, 2 579 000, 
JS Global Capital Limited. , 61.50, 61.50, 61.5, 61.5, 61.50,   0, 1 000, 
MCB-Arif Habib Savings & Invest Ltd. , 21.90, 21.50, 21.5, 21.5, 21.50,   -.4, 1 500, 
Next Capital Limited. , 9.23, 9.15, 9.35, 9.05, 9.29,   .06, 25 500, 
Pakistan Stock Exchange Limited. , 11.25, 11.20, 11.29, 10.9, 10.93,   -.32, 344 500, 
Pervez Ahmed Consultancy Services Ltd. , 0.79, 0.86, .86, .75, 0.78,   -.01, 104 500, 
Security Investment Bank Ltd. , 8.00, 8.00, 8, 8, 8,   0, 36 000, 
