,Date,Compound,Negative,Neutral,Positive
187,2019-07-08,0.6003,0.112,0.753,0.136
188,2019-07-09,0.9482,0.032,0.869,0.1
189,2019-07-10,0.2375,0.068,0.869,0.063
190,2019-07-11,-0.6597,0.112,0.791,0.097
191,2019-07-12,0.9113,0.061,0.833,0.106
192,2019-07-13,0.7523,0.076,0.815,0.109
193,2019-07-14,0.8176,0.065,0.828,0.108
194,2019-07-15,0.3766,0.047,0.896,0.057
195,2019-07-16,-0.4411,0.086,0.841,0.073
196,2019-07-17,0.7884,0.108,0.755,0.138
197,2019-07-18,0.8225,0.075,0.82,0.105
198,2019-07-19,0.6848,0.038,0.893,0.069
199,2019-07-20,0.9216,0.044,0.826,0.13
200,2019-07-21,-0.7269,0.072,0.903,0.025
201,2019-07-22,0.5859,0.092,0.789,0.119
202,2019-07-23,0.8948,0.035,0.872,0.094
203,2019-07-24,-0.4871,0.093,0.823,0.084
204,2019-07-25,-0.98,0.165,0.761,0.074
205,2019-07-26,-0.5632,0.098,0.825,0.077
206,2019-07-27,0.9429,0.054,0.813,0.133
207,2019-07-28,0.8173,0.043,0.86,0.097
208,2019-07-29,-0.5023,0.143,0.753,0.104
209,2019-07-30,0.9129,0.043,0.844,0.113
210,2019-07-31,0.8895,0.035,0.872,0.094
211,2019-08-01,0.9081,0.074,0.789,0.138
212,2019-08-02,0.6322,0.08,0.818,0.103
213,2019-08-03,0.8439,0.014,0.906,0.081
214,2019-08-04,0.8053,0.083,0.781,0.136
215,2019-08-05,-0.2819,0.11,0.761,0.129
216,2019-08-06,0.6121,0.049,0.888,0.062
217,2019-08-07,0.2824,0.095,0.804,0.101
218,2019-08-08,-0.9531,0.123,0.818,0.059
219,2019-08-09,0.9388,0.076,0.779,0.145
220,2019-08-10,0.8479,0.104,0.773,0.123
221,2019-08-11,-0.2023,0.127,0.769,0.104
222,2019-08-14,-0.8463,0.152,0.74,0.108
223,2019-08-15,-0.7808,0.117,0.807,0.076
224,2019-08-16,-0.9793,0.16,0.791,0.049
225,2019-08-17,-0.2136,0.05,0.908,0.041
226,2019-08-18,0.8658,0.065,0.769,0.167
227,2019-08-19,-0.3071,0.118,0.772,0.11
228,2019-08-20,0.9209,0.054,0.837,0.109
229,2019-08-21,0.8074,0.069,0.822,0.108
230,2019-08-22,-0.8718,0.121,0.803,0.076
231,2019-08-23,0.6381,0.068,0.844,0.088
232,2019-08-24,0.9662,0.073,0.78,0.146
233,2019-08-25,0.0772,0.037,0.923,0.041
234,2019-08-26,0.7865,0.073,0.821,0.106
235,2019-08-27,-0.9397,0.131,0.783,0.086
236,2019-08-28,-0.2406,0.06,0.873,0.066
237,2019-08-29,0.9809,0.061,0.787,0.151
238,2019-08-30,-0.7261,0.136,0.744,0.12
239,2019-08-31,0.743,0.072,0.829,0.099
240,2019-09-01,-0.8426,0.11,0.85,0.04
241,2019-09-02,-0.7347,0.098,0.823,0.079
242,2019-09-03,-0.9266,0.138,0.785,0.077
243,2019-09-04,0.9579,0.057,0.802,0.141
244,2019-09-05,0.743,0.078,0.82,0.102
245,2019-09-06,0.8574,0.074,0.771,0.155
246,2019-09-07,0.9527,0.04,0.822,0.138
247,2019-09-08,0.5007,0.028,0.91,0.062
248,2019-09-09,0.9834,0.034,0.77,0.196
249,2019-09-10,0.9541,0.043,0.821,0.136
